city,c_2010,c_2011,c_2012,c_2013,c_2014,c_2015,c_2016,c_2017,c_2018
аидЧ,2.94,3.27,3.22,3.47,3.48,3.48,3.65,3.81,3.95
╪╙аж,3.43,3.72,4.03,4.51,4.44,4.63,4.71,4.9,4.75
╨заЗ╫╜,3.6,3.89,4.09,4.65,4.88,4.98,4.91,5.19,5.12
